,ps_time,wfv_sen2,r_slope_pre12H_sen2,r_et_sum_prior_24,r_et_sum_post_24,Timestamp,r_et_sum_post,head_sen2_cm,kunsat_sen2,wti,wfv_post_sen2,hours_ahead
975,26895,38.8,-0.005366128124748816,6.07,6.0600000000000005,2023-08-16 09:20:00,18.09,121.5393020974709,0.007245328928177495,0.0013252127338638398,35.0,864
976,26995,37.7,-0.00974419258902016,5.99,4.79,2023-08-16 17:40:00,16.91,142.03777159296627,0.0051970434485289,0.0002458900226564004,34.2,864
977,27095,37.4,-0.005557632023149283,6.04,4.6000000000000005,2023-08-17 02:00:00,16.79,147.71240026830043,0.004749737372873695,0.0012502360934120132,34.2,864
978,638,39.3,-0.015166385338799122,5.06,5.47,2023-05-17 05:10:00,15.290000000000001,112.3079943173336,0.008444482577708554,0.0008617778628540823,37.7,864
979,9024,40.7,-0.007703761755485869,3.63,5.3500000000000005,2023-06-15 08:00:00,14.4,86.24068660297847,0.013155265083880369,0.007533075657341097,38.1,864
980,9074,40.2,-0.008951249899525737,4.16,5.7,2023-06-15 12:10:00,14.65,95.6384942415064,0.011192518095449964,0.00968275079832006,38.4,864
981,9124,40.2,-0.006824009324009313,4.85,5.85,2023-06-15 16:20:00,14.64,95.6384942415064,0.011192518095449964,0.006965594070868497,38.4,864
982,9174,39.9,-0.0047677035608070266,5.14,5.79,2023-06-15 20:30:00,14.629999999999999,101.21703805944152,0.010178202448514145,0.006963462695470036,38.0,864
983,19308,40.9,-0.009494212683867843,6.0600000000000005,6.06,2023-07-21 01:00:00,18.959999999999997,82.43045757902965,0.014053363184719865,0.009369595332055211,37.3,864
984,19358,40.6,-0.004125472228920502,6.029999999999999,6.0600000000000005,2023-07-21 05:10:00,18.830000000000002,88.13332285204125,0.012732153436900366,0.0082100542925091,37.3,864
985,19408,40.6,-0.0010256410256410317,5.99,6.05,2023-07-21 09:20:00,18.599999999999998,88.13332285204125,0.012732153436900366,0.0082100542925091,37.1,864
986,19458,40.3,-0.002260268467165049,6.0200000000000005,6.05,2023-07-21 13:30:00,18.35,93.77062253780367,0.011556039473284018,0.004758923455838238,37.1,864
987,19508,39.7,-0.006690780483883933,6.0600000000000005,6.04,2023-07-21 17:40:00,18.3,104.92061199208894,0.009559841481876418,0.007189634724549515,36.5,864
988,19558,39.8,-0.005283538300779671,6.04,6.12,2023-07-21 21:50:00,18.290000000000003,103.07003073108069,0.00986358610743719,0.003311599865857601,36.6,864
989,19708,39.5,-0.002635439273370287,6.04,6.2299999999999995,2023-07-22 10:20:00,18.34,108.61641463178137,0.008983093741992356,0.0014087877847117347,36.5,864
990,19758,38.9,-0.006909010529700156,6.05,6.24,2023-07-22 14:30:00,18.46,119.69129838280287,0.007469642275856098,0.003830310130529747,36.0,864
991,19808,38.6,-0.009326420705731042,6.05,6.28,2023-07-22 18:40:00,18.52,125.2403112414254,0.006817923387270916,0.0014135708553510498,35.8,864
992,19858,38.3,-0.007204404790611726,6.140000000000001,6.33,2023-07-22 22:50:00,18.53,130.80907716876908,0.006225995917280289,0.0019898341737212945,35.8,864
993,19908,38.4,-0.0021666264769713327,6.18,6.28,2023-07-23 03:00:00,18.49,128.95011374129754,0.006417070969512595,0.0,35.8,864
994,20008,37.8,-0.003315247970420369,6.24,6.07,2023-07-23 11:20:00,16.82,140.1560324575368,0.005355518007982392,0.0013927646548766352,35.6,864
995,20058,37.3,-0.007893256169118228,6.24,4.93,2023-07-23 15:30:00,16.52,149.61458578083955,0.004609489340836384,0.0006941965496516253,35.5,864
996,20108,37.3,-0.00754099348926937,6.290000000000001,4.21,2023-07-23 19:40:00,16.490000000000002,149.61458578083955,0.004609489340836384,0.0,35.3,864
997,20158,37.3,-0.003843340567478517,6.3100000000000005,4.0200000000000005,2023-07-23 23:50:00,16.48,149.61458578083955,0.004609489340836384,0.0010258392421523155,35.0,864
998,20308,37.0,-0.002177879591672694,5.8,3.71,2023-07-24 12:20:00,15.100000000000001,155.3565021438858,0.004213303630864225,0.0009376930402431046,34.8,864
999,20358,36.8,-0.0029577606301744363,4.7700000000000005,4.18,2023-07-24 16:30:00,15.04,159.21630370233453,0.003968339814491187,0.0008834999053345441,34.6,864
1000,20408,36.6,-0.003871473354231966,4.13,4.59,2023-07-24 20:40:00,15.06,163.10378262610786,0.003737578701977508,0.0009849350910465752,34.6,864
1001,20458,36.6,-0.0029453018246121407,4.02,4.75,2023-07-25 00:50:00,15.049999999999999,163.10378262610786,0.003737578701977508,0.0009849350910465752,34.6,864
1002,20558,36.5,-0.0010256410256410402,3.9499999999999997,4.85,2023-07-25 09:10:00,14.91,165.05847947084115,0.003627245480712285,0.0012393150826087204,34.6,864
1003,20608,36.3,-0.0015860863274656603,3.68,5.68,2023-07-25 13:20:00,14.829999999999998,168.9909331759796,0.0034161523736570966,0.000901566111320419,34.4,864
1004,20658,36.1,-0.004199421268386785,4.37,6.0,2023-07-25 17:30:00,14.75,172.955649215545,0.0032171726435114064,0.0012224045216592053,33.9,864
1005,20708,35.8,-0.005929989550679222,4.63,6.050000000000001,2023-07-25 21:40:00,14.75,178.96717181738003,0.0029398269092844385,0.0006581648164131746,33.8,864
1006,20758,35.8,-0.00237541194437749,4.75,5.98,2023-07-26 01:50:00,14.72,178.96717181738003,0.0029398269092844385,0.0010093407350270723,33.6,864
1007,20908,35.3,-0.002495981030463759,5.81,5.86,2023-07-26 14:20:00,16.37,189.1732688379959,0.0025284738990262044,0.0007741506114261997,33.4,864
1008,20958,35.3,-0.004182742544811504,6.040000000000001,5.74,2023-07-26 18:30:00,16.46,189.1732688379959,0.0025284738990262044,0.0007741506114261997,32.9,864
1009,21008,35.0,-0.004860943654047113,6.029999999999999,5.73,2023-07-26 22:40:00,16.43,195.41901348640468,0.0023089889498925185,0.000886987854443511,32.6,864
1010,21058,35.0,-0.0037486938349007154,5.98,5.7,2023-07-27 02:50:00,16.439999999999998,195.41901348640468,0.0023089889498925185,0.0007094340542015385,32.8,864
1011,21208,34.6,-0.0036309380274897503,5.84,5.67,2023-07-27 15:20:00,17.47,203.90191161869421,0.0020446297668848296,0.0006315350915836276,32.4,864
1012,21258,34.6,-0.006088136001929094,5.720000000000001,5.72,2023-07-27 19:30:00,17.380000000000003,203.90191161869421,0.0020446297668848296,0.0008652282517548145,32.2,864
1013,21308,34.6,-0.0019966240655895553,5.72,5.680000000000001,2023-07-27 23:40:00,17.369999999999997,203.90191161869421,0.0020446297668848296,0.0010793635539391912,31.9,864
1014,21458,34.3,-0.0015241941966080113,5.67,5.57,2023-07-28 12:10:00,16.64,210.3886618768844,0.001865592666016557,0.0007929041925499549,31.9,864
1015,21508,33.8,-0.004304517321758706,5.699999999999999,5.2,2023-07-28 16:20:00,16.65,221.45629274404325,0.0015998103567308264,0.0005003419980947788,31.5,864
1016,21558,33.6,-0.007720842376014781,5.71,5.21,2023-07-28 20:30:00,16.62,225.97880445973053,0.0015038621095380706,0.00047197860778893654,31.2,864
1017,21608,33.6,-0.00464110602041636,5.68,5.23,2023-07-29 00:40:00,16.62,225.97880445973053,0.0015038621095380706,0.0006464821088797247,31.2,864
1018,21808,32.9,-0.004543646009163265,5.18,5.4799999999999995,2023-07-29 17:20:00,16.39,242.27472646118733,0.0012088754796699853,0.0002825841113340909,30.8,864
1019,21858,32.9,-0.007429668033116323,5.23,5.4399999999999995,2023-07-29 21:30:00,16.419999999999998,242.27472646118733,0.0012088754796699853,0.00043322015397529253,30.3,864
1020,21908,32.8,-0.004238807169841663,5.22,5.5,2023-07-30 01:40:00,16.419999999999998,244.6655790956408,0.0011714493653094172,0.00037333837099838373,30.3,864
1021,22058,32.4,-0.0014102564102563943,5.42,5.78,2023-07-30 14:10:00,16.610000000000003,254.39723107882702,0.0010322604100861785,0.00024389070489567958,30.1,864
1022,22108,32.1,-0.006584679688127942,5.470000000000001,5.91,2023-07-30 18:20:00,16.64,261.88075492185,0.0009381128834354274,9.32546622544779e-05,29.6,864
1023,22158,31.9,-0.006331685555823483,5.45,5.95,2023-07-30 22:30:00,16.64,266.9622680003081,0.0008798287195263787,8.788464621944883e-05,29.6,864
1024,22208,31.9,-0.0019839643115505258,5.5,5.920000000000001,2023-07-31 02:40:00,16.63,266.9622680003081,0.0008798287195263787,8.788464621944883e-05,29.6,864
1025,22358,31.4,-0.0038250542560887674,5.8100000000000005,6.05,2023-07-31 15:10:00,17.51,280.00819010687025,0.0007484029830697185,3.9588060871092497e-05,29.2,864
1026,22408,31.5,-0.00634414436138575,5.94,6.12,2023-07-31 19:20:00,17.6,277.35860052658694,0.0007731455211141513,7.80100178440473e-05,29.0,864
1027,22458,31.2,-0.005370950888192264,5.9399999999999995,6.140000000000001,2023-07-31 23:30:00,17.63,285.370336394029,0.000701084130274874,0.0,29.0,864
1028,22508,31.2,-0.0020719797443935423,5.920000000000001,6.1899999999999995,2023-08-01 03:40:00,17.630000000000003,285.370336394029,0.000701084130274874,0.0,29.0,864
1029,22658,30.5,-0.0039349730729041025,6.08,6.19,2023-08-01 16:10:00,18.32,304.8363853172763,0.0005562031059485762,0.00016050948257546326,28.5,864
1030,22708,30.3,-0.006369262920987051,6.109999999999999,6.23,2023-08-01 20:20:00,18.31,310.61002810703667,0.0005201511372408297,0.00021819263250785775,28.4,864
1031,22758,30.3,-0.005311671087533149,6.17,6.21,2023-08-02 00:30:00,18.32,310.61002810703667,0.0005201511372408297,0.00011898649268444073,28.4,864
1032,22808,30.3,-0.0024730729041073833,6.199999999999999,6.2,2023-08-02 04:40:00,18.3,310.61002810703667,0.0005201511372408297,0.00011898649268444073,28.3,864
1033,22958,29.9,-0.004975484285829126,6.18,6.07,2023-08-02 17:10:00,18.380000000000003,322.4605501932926,0.00045434408229838363,0.00010529128790791363,27.8,864
1034,23008,29.6,-0.006249698577284787,6.26,6.000000000000001,2023-08-02 21:20:00,18.400000000000002,331.62719016341146,0.00041005018597784566,0.000148614895639485,27.7,864
1035,23058,29.6,-0.00443714331645366,6.2,6.0,2023-08-03 01:30:00,18.41,331.62719016341146,0.00041005018597784566,0.00017616152202077438,27.6,864
1036,23258,29.2,-0.005493931356000324,6.069999999999999,5.45,2023-08-03 18:10:00,17.72,344.244205981285,0.00035707128121460085,8.476624762119171e-05,27.5,864
1037,23308,29.0,-0.0050018085362912995,6.010000000000001,5.4799999999999995,2023-08-03 22:20:00,17.700000000000003,350.73054166574957,0.0003329727409157551,0.0001941941462122057,27.2,864
1038,23358,29.0,-0.0010027328992846176,6.0,5.5,2023-08-04 02:30:00,17.69,350.73054166574957,0.0003329727409157551,0.00016983564582585055,27.1,864
1039,23508,28.5,-0.0030391447632826937,5.51,5.0,2023-08-04 15:00:00,15.68,367.49783154726356,0.0002790038815278002,0.000165966656949318,27.2,864
1040,23558,28.3,-0.004731733783457908,5.4399999999999995,4.41,2023-08-04 19:10:00,15.62,374.4367424585992,0.0002597187946431612,0.00019682279596474036,26.8,864
1041,23608,28.4,-0.0034183345390242014,5.489999999999999,4.140000000000001,2023-08-04 23:20:00,15.620000000000001,370.95015104050543,0.00026920627950977223,0.0001816428201781627,26.8,864
1042,23658,28.3,-0.0012537175468210094,5.5,4.11,2023-08-05 03:30:00,15.520000000000001,374.4367424585992,0.0002597187946431612,0.0001361814091785021,26.7,864
1043,23808,28.1,-0.001632103528655251,4.86,3.93,2023-08-05 16:00:00,13.89,381.5151023026067,0.00024163880319439787,0.00016510939549652342,26.6,864
1044,23858,27.7,-0.005058074109798249,4.29,4.21,2023-08-05 20:10:00,13.88,396.1097357393028,0.0002088241010474003,0.00014518748201948874,26.3,864
1045,23908,27.6,-0.004223334137127255,4.12,4.26,2023-08-06 00:20:00,13.870000000000001,399.85335858769224,0.0002012710546021737,0.0001405595093988058,26.1,864
1046,24108,27.4,-0.0030268869061972387,4.0,3.7600000000000002,2023-08-06 17:00:00,12.180000000000001,407.45925121807045,0.00018689345041775362,0.00011652055076065215,26.0,864
1047,24158,27.2,-0.004765895024515714,4.24,3.8000000000000003,2023-08-06 21:10:00,12.13,415.2280186692313,0.00017344035074729497,0.00013804551023338598,25.9,864
1048,24208,27.5,-0.004029016960051451,4.2700000000000005,3.77,2023-08-07 01:20:00,12.12,403.6363001275687,0.00019396322624592226,9.051087662503336e-05,25.9,864
1049,24358,27.2,-0.002639458242906521,4.109999999999999,4.35,2023-08-07 13:50:00,13.17,415.2280186692313,0.00017344035074729497,0.00010911752391536463,25.5,864
1050,24408,26.7,-0.004507676231814162,3.7800000000000002,5.24,2023-08-07 18:00:00,13.370000000000001,435.4013681580684,0.00014350773935015499,0.00014323433498079343,25.2,864
